id,task,Frame,stream_1,AD_State
39,P,295377,7,0
39,P,295590,8,0
39,P,295766,8,1
39,P,298078,8,1
39,W,336147,0,1
39,W,349339,7,1
39,W,349682,7,0
39,W,349684,7,1
39,W,349700,7,0
39,W,349890,8,0
39,W,350218,8,1
39,W,351632,8,1
4,D,1134163,0,1
4,D,1148382,7,1
4,D,1148501,7,0
4,D,1148503,7,1
4,D,1148552,7,0
4,D,1148959,8,0
4,D,1149586,8,1
4,D,1149911,8,1
4,J,1185003,0,1
4,J,1195183,7,1
4,J,1195384,7,0
4,J,1195386,7,1
4,J,1195393,7,0
4,J,1195747,8,0
4,J,1195975,8,1
4,J,1197174,8,1
4,M,1098448,0,0
4,M,1113822,7,1
4,M,1114084,7,0
4,M,1114086,7,1
4,M,1114126,7,0
4,M,1114380,8,0
4,M,1115160,8,1
4,M,1116364,8,1
4,P,1155198,0,1
4,P,1167308,7,1
4,P,1167449,7,0
4,P,1167451,7,1
4,P,1167459,7,0
4,P,1167882,8,0
4,P,1168235,8,1
4,P,1170234,8,1
4,W,1208553,0,1
4,W,1221751,7,1
4,W,1221900,7,0
4,W,1221902,7,1
4,W,1221912,7,0
4,W,1222319,8,0
4,W,1222495,8,1
4,W,1223407,8,1
40,D,5212,0,0
40,D,19046,7,1
40,D,19335,7,0
40,D,19337,7,1
40,D,19345,7,0
40,D,19599,8,0
40,D,20056,8,1
40,D,20573,8,1
40,J,68287,0,1
40,J,78277,7,1
40,J,78818,8,1
40,J,78844,8,0
40,J,78846,8,1
40,J,78870,8,0
40,J,79584,8,1
40,J,80674,8,1
40,M,116840,0,1
40,M,131643,7,1
40,M,131976,7,0
40,M,131978,7,1
40,M,132006,7,0
40,M,132191,8,0
40,M,132330,8,1
