task,mean_hr_beats_min,max_hr_beats_min,mean_rr_ms,rmssd_ms,rr_tri_index,lf_hf_ratio,total_power_ms_2,drv_percentage,pupil_z,pupil_change,fix_count,fix_dur,entropy_log2,spatial_density,drv_scanpath_len,drv_saccade_len,drv_convex_hull,drv_fix_count,drv_fix_dur,drv_grid_transition,drv_spatial_density,drv_NNI,RT_adoff,mean_hand
D,82.4904,87.6424,727.3571,30.2759,8.4,1.3925,1519.4335,0.028390114,3.697410167,0.164328605,84,24.043163,6.033031984,0.008873457,5236.698315,68.9039252,47733,77,22.62069,57.33929185,0.056966146,1097.090262,3.833333333,132.4390149
J,85.5107,90.1442,701.6667,22.5162,3.5,4.1133,322.302,0.982948847,12.78820479,0.568362112,83,25.96711,7.640583114,0.017602238,66.56758905,33.28379452,278,3,0.310471,56.8627451,0.003038194,27.5645683,5.6,29.57755601
M,83.452,96.2773,718.9762,32.3068,8.4,6.6377,2382.8747,0.96477692,9.219494312,0.409753468,42,26.397867,6.709128723,0.013647762,357.5536821,178.7768411,8358,3,0.250461,80,0.008463542,89.60087006,5.05,59.77067359
P,82.8566,93.4288,724.1429,28.1731,6,0.1825,1126.2391,1,8.597917995,0.382127977,80,27.059058,7.136123616,0.012152778,0,0,0,0,0,0,0,0,4.616666667,56.4339601
W,83.281,90.1984,720.4524,29.6829,4.666667,1.4228,488.1658,0.992639679,11.15969306,0.495984137,55,26.798983,6.924398549,0.013213735,0,0,0,0,0,90.90909091,0.002278646,30.006028,5.85,23.90653753
D,66.671,70.7547,899.9412,39.1903,6.8,1.5291,1354.1947,0.048822715,1.039834525,0.070340233,37,25.74653,5.688465093,0.011284722,2641.865352,77.70192212,38831,35,24.343992,43.93884237,0.04546441,863.6970201,3.833333333,42.35833281
J,70.609,73.8734,849.75,35.018,7.2,2.9162,700.2365,1,10.08908493,0.682482233,82,24.113644,8.149773806,0.024691358,0,0,0,0,0,0,0,0,6.85,32.80911727
M,77.1437,82.0345,777.7692,28.2859,7.8,4.4258,750.0645,0.998645445,9.757997152,0.6600856,33,26.548197,5.552847237,0.005256559,0,0,0,0,0,75,0.000434028,14.09741985,8.466666667,30.98573834
P,76.564,81.1908,783.6579,31.756,6.333333,2.0109,486.4765,1,8.427234547,0.570065362,85,25.676103,7.650347334,0.016637731,0,0,0,0,0,0,0,0,6.783333333,37.42473463
W,69.2629,82.3271,866.2647,44.2541,6.8,1.717,1796.2134,0.862285914,6.913537691,0.467670425,38,23.993352,6.834861912,0.015866127,726.7750402,72.67750402,13865,11,0.911545,84.26395939,0.024197049,250.1769824,8.033333333,96.69971894
